Date,GDP,GFCF,UNEM,ConsumerPrices,GovExp,HouseExp
1994-03-31,2089351.0,274432.0,20.0,25.666666666666668,505201.0,1341416.0
1994-06-30,2183532.0,280433.0,20.0,26.0,505206.0,1354509.0
1994-09-30,2220300.0,288152.0,20.0,27.0,502942.0,1368367.0
1994-12-31,2218283.0,299025.0,20.0,27.333333333333332,497292.0,1385567.0
1995-03-31,2228904.0,305911.0,17.0,28.0,484801.0,1415147.0
1995-06-30,2317284.0,317932.0,17.0,29.0,474173.0,1433385.0
1995-09-30,2249613.0,319480.0,17.0,29.0,465912.0,1453491.0
1995-12-31,2273244.0,320818.0,17.0,29.0,464938.0,1470829.0
1996-03-31,2328131.0,332590.0,19.0,30.0,476574.0,1485789.0
1996-06-30,2392327.0,343133.0,19.0,30.333333333333332,486270.0,1501611.0
1996-09-30,2367498.0,349397.0,19.0,31.0,494635.0,1516081.0
1996-12-31,2398230.0,352897.0,19.0,,504256.0,1527520.0
1997-03-31,2436241.0,360493.0,21.0,33.0,501583.0,1543191.0
1997-06-30,2441023.0,363776.0,21.0,33.0,501786.0,1551912.0
1997-09-30,2424791.0,365343.0,21.0,34.0,500609.0,1564673.0
1997-12-31,2432193.0,367530.0,21.0,34.0,499664.0,1567682.0
1998-03-31,2410019.0,375681.0,25.0,34.666666666666664,493239.0,1581872.0
1998-06-30,2435016.0,375406.0,25.0,35.0,492184.0,1584351.0
1998-09-30,2444432.0,384851.0,25.0,36.333333333333336,488539.0,1585276.0
1998-12-31,2458973.0,390641.0,25.0,37.0,485191.0,1584472.0
1999-03-31,2370452.0,363049.0,23.0,38.0,486590.0,1587128.0
1999-06-30,2457935.0,348592.0,23.0,38.0,489499.0,1604027.0
1999-09-30,2436432.0,346824.0,23.0,38.0,493335.0,1620259.0
1999-12-31,2472065.0,352169.0,23.0,38.0,,1634660.0
2000-03-31,2475064.0,357181.0,27.0,38.666666666666664,501248.0,1652748.0
2000-06-30,2506880.0,362299.0,27.0,39.333333333333336,504406.0,1671130.0
2000-09-30,2542893.0,368903.0,23.0,40.0,508044.0,1688068.0
2000-12-31,2527160.0,376781.0,23.0,41.0,511590.0,1700881.0
2001-03-31,2544724.0,377788.0,25.0,41.333333333333336,515285.0,1716099.0
2001-06-30,2539419.0,376839.0,25.0,42.0,519527.0,1728614.0
2001-09-30,2586181.0,376798.0,26.0,42.0,524441.0,1742516.0
2001-12-31,2606214.0,375481.0,26.0,42.333333333333336,529275.0,1760086.0
2002-03-31,2653855.0,380957.0,28.0,43.666666666666664,535521.0,1779669.0
2002-06-30,2676291.0,383974.0,28.0,45.333333333333336,542199.0,1783736.0
2002-09-30,2726642.0,392372.0,27.0,46.333333333333336,549520.0,1792141.0
2002-12-31,2721260.0,402232.0,27.0,48.0,556764.0,1812178.0
2003-03-31,2779762.0,408903.0,29.0,48.333333333333336,564375.0,1817716.0
2003-06-30,2816680.0,423180.0,29.0,49.0,572133.0,1828286.0
2003-09-30,2831426.0,436406.0,28.0,49.0,580549.0,
2003-12-31,2890212.0,450696.0,28.0,48.0,590420.0,1878016.0
2004-03-31,2974761.0,464235.0,26.0,48.666666666666664,599502.0,1903332.0
2004-06-30,3038610.0,473415.0,26.0,49.0,606379.0,1941041.0
2004-09-30,3079442.0,493074.0,23.0,49.0,610533.0,1977789.0
2004-12-31,3101112.0,509840.0,23.0,50.0,611915.0,2008484.0
2005-03-31,3159864.0,515611.0,24.0,50.0,608712.0,2031707.0
2005-06-30,3193965.0,529453.0,24.0,51.0,609872.0,2057095.0
2005-09-30,,545354.0,24.0,51.0,613099.0,2088994.0
2005-12-31,3298902.0,563292.0,24.0,51.333333333333336,622850.0,2133138.0
2006-03-31,3415405.0,576227.0,23.0,52.0,632866.0,2187514.0
2006-06-30,3484508.0,593102.0,23.0,52.666666666666664,633278.0,2234164.0
2006-09-30,349166100.0,613445.0,22.0,54.0,638693.0,2282082.0
2006-12-31,3631168.0,632498.0,22.0,54.0,642169.0,2336562.0
2007-03-31,3616553.0,669509.0,24.0,55.0,653630.0,2368206.0
2007-06-30,3732670.0,682794.0,24.0,56.333333333333336,667655.0,2395088.0
2007-09-30,3755982.0,690632.0,21.0,57.666666666666664,684590.0,2421073.0
2007-12-31,3724527.0,704647.0,21.0,59.0,699150.0,2445199.0
2008-03-31,3848249.0,734695.0,23.0,61.0,719188.0,2438546.0
2008-06-30,3851366.0,757914.0,23.0,62.666666666666664,726066.0,2440822.0
2008-09-30,3860317.0,794109.0,23.0,64.66666666666667,732713.0,2438418.0
2008-12-31,3807632.0,813172.0,22.0,65.0,734567.0,2428398.0
2009-03-31,3816937.0,756353.0,23.0,66.0,735328.0,2396646.0
2009-06-30,3759714.0,727837.0,23.0,67.33333333333333,738332.0,2372439.0
2009-09-30,3748079.0,707259.0,25.0,69.0,744915.0,2366162.0
2009-12-31,3825605.0,701469.0,24.0,69.0,745387.0,2358422.0
2010-03-31,3857113.0,695496.0,25.0,56.333333333333336,738546.0,2442370.0
2010-06-30,3891272.0,675426.0,25.0,57.0,739043.0,2495613.0
2010-09-30,3985606.0,,25.0,57.0,739399.0,2540846.0
2010-12-31,3983999.0,715928.0,24.0,57.666666666666664,738707.0,2554667.0
2011-03-31,4093487.0,742845.0,25.0,58.333333333333336,744803.0,2581491.0
2011-06-30,4097326.0,718704.0,,59.333333333333336,770420.0,2600189.0
2011-09-30,4161690.0,75176200.0,25.0,60.333333333333336,779646.0,2612948.0
2011-12-31,4223110.0,756662.0,24.0,61.0,781523.0,2645586.0
2012-03-31,4206195.0,738914.0,25.0,62.0,790056.0,2664912.0
2012-06-30,4260325.0,759358.0,25.0,63.0,802526.0,2682545.0
2012-09-30,4307482.0,749406.0,25.0,63.333333333333336,812756.0,2708999.0
2012-12-31,4321956.0,774489.0,25.0,64.33333333333333,818422.0,2720572.0
2013-03-31,4346609.0,771424.0,25.0,65.33333333333333,823407.0,2730059.0
2013-06-30,4408438.0,789831.0,25.0,66.0,831875.0,2739722.0
2013-09-30,4412194.0,807410.0,25.0,67.33333333333333,833531.0,2736874.0
2013-12-31,4371876.0,815427.0,24.0,68.0,836871.0,2737535.0
2014-03-31,4363587.0,799782.0,25.0,69.33333333333333,841838.0,2741369.0
2014-06-30,4396198.0,773339.0,26.0,71.0,846810.0,2752147.0
2014-09-30,4396490.0,772753.0,25.0,71.66666666666667,848657.0,2760701.0
2014-12-31,4425076.0,796275.0,24.0,72.0,852437.0,2768786.0
2015-03-31,4521709.0,792660.0,26.0,72.33333333333333,837770.0,2798300.0
